epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48117,1.15305,3.2261,1.47423,0.00233,0.77778,0.23755,0.15661,0.76067,3.80946,1.07381,0.00016,0.00016,0.00016
2,11.0526,0.8772,2.74112,1.26231,0.00233,0.77778,0.4676,0.24925,1.08349,3.85398,1.32598,0.000333268,0.000333268,0.000333268
3,16.6236,1.05864,2.77968,1.35934,0.00233,0.77778,0.47357,0.3282,0.87075,3.79954,1.11934,0.000499408,0.000499408,0.000499408
4,22.153,0.89381,2.58843,1.34405,0.00233,0.77778,0.54213,0.40587,0.76371,3.70381,1.10769,0.00065842,0.00065842,0.00065842
5,27.6432,0.97359,2.33105,1.27231,0.00233,0.77778,0.4959,0.36379,0.90744,3.81984,1.1624,0.000810304,0.000810304,0.000810304
6,33.1219,1.03343,2.17239,1.30265,1,0.21177,0.49681,0.30806,1.02787,3.86996,1.28071,0.00095506,0.00095506,0.00095506
7,38.6122,0.96311,2.17232,1.28429,0.53806,0.44444,0.36532,0.23091,1.09388,3.87729,1.41956,0.00109269,0.00109269,0.00109269
8,44.1147,0.95749,1.95516,1.23613,0.42712,0.44444,0.40979,0.30462,1.25081,3.33981,1.51853,0.00122319,0.00122319,0.00122319
9,49.5693,0.93486,1.81658,1.21854,0.42712,0.44444,0.40979,0.30462,1.25081,3.33981,1.51853,0.00134656,0.00134656,0.00134656
10,55.0428,1.14673,2.13247,1.3397,0.70955,0.55556,0.60634,0.41828,1.07894,3.00462,1.16097,0.0014628,0.0014628,0.0014628
11,60.5277,1.04562,1.93902,1.31842,0.70955,0.55556,0.60634,0.41828,1.07894,3.00462,1.16097,0.00157192,0.00157192,0.00157192
12,66.0346,1.16858,2.20559,1.43743,0.58078,0.77029,0.57132,0.31149,1.21417,3.59254,1.22879,0.0015644,0.0015644,0.0015644
13,71.5194,1.24942,2.27735,1.47476,0.58078,0.77029,0.57132,0.31149,1.21417,3.59254,1.22879,0.0015248,0.0015248,0.0015248
14,77.0546,1.30195,2.08537,1.51641,0.53788,0.55556,0.47865,0.35092,1.00935,3.41898,1.25931,0.0014852,0.0014852,0.0014852
15,82.5493,1.22949,2.01641,1.4775,0.73119,0.66667,0.68376,0.49942,1.18307,3.31174,1.40678,0.0014456,0.0014456,0.0014456
16,88.0503,1.14739,1.92762,1.29951,0.73119,0.66667,0.68376,0.49942,1.18307,3.31174,1.40678,0.001406,0.001406,0.001406
17,93.5364,1.15682,2.12973,1.38433,0.57402,0.77778,0.75784,0.57731,1.05325,3.28962,1.28135,0.0013664,0.0013664,0.0013664
18,98.9962,1.05349,1.96739,1.34341,0.57402,0.77778,0.75784,0.57731,1.05325,3.28962,1.28135,0.0013268,0.0013268,0.0013268
19,104.487,0.82777,1.61182,1.15941,0.5702,0.66667,0.70931,0.53213,1.25495,4.00722,1.49445,0.0012872,0.0012872,0.0012872
20,109.963,1.00748,2.30631,1.23805,0.5702,0.66667,0.70931,0.53213,1.25495,4.00722,1.49445,0.0012476,0.0012476,0.0012476
21,115.448,1.07082,1.98918,1.32788,0.89001,1,0.951,0.66031,1.26934,3.32552,1.47005,0.001208,0.001208,0.001208
22,120.943,1.07229,2.05128,1.29142,0.96875,0.88889,0.984,0.69287,1.13634,2.95015,1.17232,0.0011684,0.0011684,0.0011684
23,126.395,0.95433,2.043,1.27112,0.96875,0.88889,0.984,0.69287,1.13634,2.95015,1.17232,0.0011288,0.0011288,0.0011288
24,131.878,0.95292,1.58923,1.17605,0.88351,1,0.984,0.76626,0.97962,2.37204,1.06855,0.0010892,0.0010892,0.0010892
25,137.36,1.02062,1.67233,1.22197,0.88351,1,0.984,0.76626,0.97962,2.37204,1.06855,0.0010496,0.0010496,0.0010496
26,142.869,0.8397,1.53833,1.13624,0.94626,0.88889,0.9675,0.76848,0.92839,2.49793,1.07243,0.00101,0.00101,0.00101
27,148.313,0.87934,1.56026,1.13316,0.94626,0.88889,0.9675,0.76848,0.92839,2.49793,1.07243,0.0009704,0.0009704,0.0009704
28,153.835,0.82676,1.48357,1.1067,0.96476,1,0.995,0.7523,1.02914,2.9266,1.14721,0.0009308,0.0009308,0.0009308
29,159.29,0.70862,1.43307,1.0997,0.96476,1,0.995,0.7523,1.02914,2.9266,1.14721,0.0008912,0.0008912,0.0008912
30,164.783,0.8259,1.23485,1.13118,0.96669,1,0.995,0.67604,1.10293,2.34377,1.19127,0.0008516,0.0008516,0.0008516
31,170.283,0.92202,1.49401,1.27498,0.98591,1,0.995,0.72355,1.12682,2.38588,1.26242,0.000812,0.000812,0.000812
32,175.743,0.90679,1.60608,1.23409,0.98591,1,0.995,0.72355,1.12682,2.38588,1.26242,0.0007724,0.0007724,0.0007724
33,181.631,0.78809,1.35116,1.09965,0.92127,1,0.995,0.67203,1.26385,2.47016,1.32647,0.0007328,0.0007328,0.0007328
34,187.308,0.71276,1.22846,1.07424,0.92127,1,0.995,0.67203,1.26385,2.47016,1.32647,0.0006932,0.0006932,0.0006932
35,192.919,0.75149,1.48446,1.09726,0.88528,1,0.984,0.66537,1.19254,2.57493,1.29204,0.0006536,0.0006536,0.0006536
36,198.415,0.80071,1.40739,1.14794,0.88528,1,0.984,0.66537,1.19254,2.57493,1.29204,0.000614,0.000614,0.000614
37,203.99,0.79539,1.37663,1.10345,0.8811,1,0.973,0.67133,1.09567,2.72417,1.28705,0.0005744,0.0005744,0.0005744
38,209.92,0.77874,1.42912,1.13125,0.80854,1,0.955,0.75846,0.89141,2.40548,1.20962,0.0005348,0.0005348,0.0005348
39,219.591,0.84438,1.51255,1.14339,0.80854,1,0.955,0.75846,0.89141,2.40548,1.20962,0.0004952,0.0004952,0.0004952
40,225.456,0.86393,1.42709,1.12664,0.80554,1,0.955,0.73381,0.77509,2.14504,1.01096,0.0004556,0.0004556,0.0004556
41,237.513,0.65029,1.72037,1.02751,0.80554,1,0.955,0.73381,0.77509,2.14504,1.01096,0.000416,0.000416,0.000416
42,242.929,0.68347,1.59966,1.05205,0.8756,1,0.973,0.76704,0.78146,2.08969,1.01123,0.0003764,0.0003764,0.0003764
43,248.759,0.59406,1.62721,1.0012,0.8756,1,0.973,0.76704,0.78146,2.08969,1.01123,0.0003368,0.0003368,0.0003368
44,254.222,0.7343,1.89687,1.15401,0.80819,1,0.955,0.76457,0.79085,2.05055,1.01448,0.0002972,0.0002972,0.0002972
45,259.883,0.68952,1.79399,1.1331,0.80819,1,0.955,0.76457,0.79085,2.05055,1.01448,0.0002576,0.0002576,0.0002576
46,265.538,0.68613,1.69717,1.13663,0.81521,1,0.955,0.76847,0.78107,2.06299,1.00822,0.000218,0.000218,0.000218
47,271.351,0.72091,1.81456,1.1507,0.81734,0.99484,0.955,0.7659,0.8271,2.18105,1.0163,0.0001784,0.0001784,0.0001784
48,277.284,0.70604,1.66135,1.06086,0.81734,0.99484,0.955,0.7659,0.8271,2.18105,1.0163,0.0001388,0.0001388,0.0001388
49,283.217,0.62989,1.65041,1.10399,0.81717,0.9938,0.955,0.74508,0.89178,2.28611,1.04142,9.92e-05,9.92e-05,9.92e-05
50,288.753,0.70139,1.75559,1.18886,0.81717,0.9938,0.955,0.74508,0.89178,2.28611,1.04142,5.96e-05,5.96e-05,5.96e-05
